SKU,카테고리,메뉴,매장가,현재 배달가,추천 배달가,차이,현재 인상률%,판단
DESRT-031,구움과자 · 간식,상하이 버터떡 1BOX,7000,7500,7900,400,7.1,인상 제안
DESRT-004,구움과자 · 간식,'베이글' 러스크칩,3000,3500,3500,,16.7,유지
SIG-007,논커피,밤 티라미슈 라떼,5500,5500,6200,700,0.0,인상 제안
NCOF-005,논커피,수제청 딸기 라떼,5000,,5600,,,배달가 미입력
SIG-009,논커피,프로틴 드링크 초코,4900,4900,5500,600,0.0,인상 제안
SIG-010,논커피,프로틴 부스터 바닐라,4900,5200,5500,300,6.1,인상 제안
NCOF-001,논커피,생과일 수박주스,4800,6000,6000,,25.0,유지
NCOF-004,논커피,제주 말차 딸기라떼,4800,5100,5400,300,6.2,인상 제안
NCOF-006,논커피,초코라떼,4800,4800,5400,600,0.0,인상 제안
NCOF-007,논커피,민트초코라떼,4800,4800,5400,600,0.0,인상 제안
NCOF-008,논커피,그린티라떼,4800,4800,5400,600,0.0,인상 제안
SIG-011,논커피,프로틴 밤 라떼,4500,4700,5100,400,4.4,인상 제안
NCOF-003,논커피,제주 말차 라떼,4500,4800,5100,300,6.7,인상 제안
NCOF-009,논커피,로얄 밀크티,4500,4500,5100,600,0.0,인상 제안
NCOF-002,논커피,꿀 마롱 라떼,4000,4000,4500,500,0.0,인상 제안
BK-009,베이커리,고소한 브라운 치아바타,4700,4700,5300,600,0.0,인상 제안
BK-005,베이커리,런던식 모짜렐라 베이글,4300,4500,4900,400,4.7,인상 제안
BK-003,베이커리,구운 어니언 베이글,4200,4400,4700,300,4.8,인상 제안
BK-004,베이커리,향긋한 바질 베이글,4200,4400,4700,300,4.8,인상 제안
BK-006,베이커리,리얼 크랜베리 베이글,4200,4400,4700,300,4.8,인상 제안
BK-007,베이커리,아침엔 블루베리 베이글,4200,4400,4700,300,4.8,인상 제안
BK-008,베이커리,초코가득 초코 베이글,4200,4200,4700,500,0.0,인상 제안
BK-002,베이커리,건강한 통밀 베이글,4000,4200,4500,300,5.0,인상 제안
BK-001,베이커리,[Original] 플레인 베이글,3300,3500,3700,200,6.1,인상 제안
BOT-004,보틀 1L,보틀 초코라떼,11000,11000,12400,1400,0.0,인상 제안
BOT-005,보틀 1L,보틀 수제청 딸기라떼,11000,11000,12400,1400,0.0,인상 제안
BOT-007,보틀 1L,보틀 로얄 밀크티,11000,11000,12400,1400,0.0,인상 제안
BOT-002,보틀 1L,보틀 디카페인 콜드브루,10500,10500,11900,1400,0.0,인상 제안
BOT-003,보틀 1L,보틀 카페라떼,9900,9900,11200,1300,0.0,인상 제안
BOT-006,보틀 1L,보틀 복숭아 아이스티,9500,9500,10700,1200,0.0,인상 제안
BOT-001,보틀 1L,보틀 아메리카노,7800,7800,8800,1000,0.0,인상 제안
SIG-020,빙수,애플망고 컵빙수,6500,,7300,,,배달가 미입력
DESRT-005,빙수,인절미 팥컵빙,5800,6000,6600,600,3.4,인상 제안
DESRT-001,빙수,얼먹 코르네 우유 생크림,3500,3500,4000,500,0.0,인상 제안
DESRT-002,빙수,얼먹 코르네 딸기 생크림,3500,3500,4000,500,0.0,인상 제안
DESRT-003,빙수,얼먹 코르네 초코 생크림,3500,3500,4000,500,0.0,인상 제안
SAND-006,샌드위치,파리지엔 잠봉&뵈르 치아바타 샌드위치,9800,9800,11100,1300,0.0,인상 제안
SAND-007,샌드위치,바베큐 폭립 풀드포크 치아바타 샌드위치,9200,8800,10400,1600,-4.3,인상 제안
SAND-008,샌드위치,런던식 터키쉬 치아바타 샌드위치,9200,9200,10400,1200,0.0,인상 제안
SAND-009,샌드위치,단백질 가득 닭가슴살 치아바타 샌드위치,9200,9200,10400,1200,0.0,인상 제안
SAND-001,샌드위치,파리지엔 잠봉&뵈르 샌드위치,8900,9400,10100,700,5.6,인상 제안
SAND-010,샌드위치,크림치즈 카프레제 치아바타 샌드위치,8800,8800,9900,1100,0.0,인상 제안
SAND-011,샌드위치,앙앙버터 치아바타 샌드위치,8800,8800,9900,1100,0.0,인상 제안
SAND-012,샌드위치,에그마요 무슈 치아바타 샌드위치,8800,8800,9900,1100,0.0,인상 제안
SAND-002,샌드위치,바베큐 폭립 풀드포크 샌드위치,7200,7700,8100,400,6.9,인상 제안
SAND-003,샌드위치,런던식 터키쉬 샌드위치,7200,7700,8100,400,6.9,인상 제안
SAND-004,샌드위치,단백질 가득 닭가슴살 샌드위치,7200,7700,8100,400,6.9,인상 제안
SAND-005,샌드위치,fresh 크림치즈 카프레제 샌드위치,7200,7700,8100,400,6.9,인상 제안
SALAD-001,샐러드,터키햄 에그마요 탄단지 샐러드,9900,11900,11900,,20.2,유지
SALAD-002,샐러드,잠봉햄 탄단지 샐러드,9900,12400,12400,,25.3,유지
