구분,정본 메뉴명,정본 매장가,네이버 메뉴명,네이버 가격,메모
이름만 다름,런던식 터키쉬 샌드위치,7200,런던식 터키 샌드위치,7200,이름 통일
이름만 다름,크림치즈 카프레제 샌드위치,7200,fresh 크림치즈 카프레제 샌드위치,7200,이름 통일
이름만 다름,바베큐 폭립 풀드포크 치아바타 샌드위치,8800,바베큐 폭립 풀드포크 치아바타,8800,이름 통일
이름만 다름,런던식 터키쉬 치아바타 샌드위치,9200,런던식 터키 치아바타,9200,이름 통일
이름만 다름,파리지엔 잠봉&뵈르 치아바타 샌드위치,9800,파리지엔 잠봉&뵈르 치아바타,9800,이름 통일
이름만 다름,단백질 가득 닭가슴살 치아바타 샌드위치,9200,단백질 가득 닭가슴살 치아바타,9200,이름 통일
이름만 다름,앙앙버터 치아바타 샌드위치,8800,앙앙버터 치아바타,8800,이름 통일
이름만 다름,에그마요 무슈 치아바타 샌드위치,8800,에그마요 무슈 치아바타,8800,이름 통일
이름만 다름,바베큐 풀드포크 탄단지 샐러드,9900,바베큐 포크 탄단지 샐러드,9900,이름 통일
이름만 다름,닭가슴살 피넛 탄단지 샐러드,9900,피넛 닭가슴살 탄단지 샐러드,9900,이름 통일
이름만 다름,페퍼 크래미 콘 탄단지 샐러드,9900,페퍼 크래미 콘 샐러드,9900,이름 통일
이름만 다름,향긋한 바질 베이글,4200,바질 베이글,4200,이름 통일
이름만 다름,고소한 브라운 치아바타,4700,브라운 치아바타,4700,이름 통일
이름만 다름,콜드브루 라떼,4800,콜드브루 카페라떼,4800,이름 통일
이름만 다름,베어글스 티 (12종 중 선택),4000,베어글스 티 12종,4000,이름 통일
이름만 다름,제로 슬림 꿀티 (애플티·얼그레이·페퍼민트 중 선택),4300,제로 슬림 꿀 티,4300,이름 통일
이름만 다름,소금 슈페너 오리지널,5500,소금 슈패너 오리지널,5500,이름 통일
이름만 다름,소금 슈페너 콜드브루,5800,소금 슈패너 콜드브루,5800,이름 통일
이름만 다름,소금 슈페너 디카페인,5800,소금 슈패너 디카페인,5800,이름 통일
이름만 다름,소금 슈페너 연유,5800,소금 슈패너 연유,5800,이름 통일
이름만 다름,블랙러시안 논알콜 하이볼스,6300,블랙러시안 하이볼스,6300,이름 통일
이름만 다름,딥 얼그레이 논알콜 하이볼스,6300,딥 얼그레이 하이볼스,6300,이름 통일
이름만 다름,생 자몽 논알콜 하이볼스,6300,생 자몽 하이볼스,6300,이름 통일
이름만 다름,생 레몬 논알콜 하이볼스,6300,생 레몬 하이볼스,6300,이름 통일
이름만 다름,샤케라또,4000,샤케라토,4000,이름 통일
이름만 다름,두바이 초코베이글,8500,두바이베이글,8500,이름 통일
가격 불일치,잠봉햄 탄단지 샐러드,12000,잠봉햄 탄단지 샐러드,9900,"-2,100원"
가격 불일치,아메리카노,2500,아메리카노,3800,"+1,300원"
가격 불일치,유자티,4500,유자티,4800,+300원
가격 불일치,후르츠 비타,5000,후르츠 비타,5500,+500원
가격 불일치,풀파워 비타,5000,풀파워 비타,5500,+500원
가격 불일치,레몬딜 비타,5000,레몬딜 비타,5500,+500원
가격 불일치,베이글 샌드위치 + 음료 세트,10900,베이글 샌드위치 + 음료 세트,9600,"-1,300원"
이름 많이 다름,크림치즈 카프레제 치아바타 샌드위치,8800,fresh 크림치즈 카프레제 치아바타,8800,같은 메뉴인지 확인
이름 많이 다름,디카페인 콜드브루 라떼,4800,디카페인 카페라떼,4800,같은 메뉴인지 확인
이름 많이 다름,초코라떼,4800,코코아라떼,4800,같은 메뉴인지 확인
이름 많이 다름,소금 슈페너 제주말차,5000,소금커피 제주말차 라떼,5000,같은 메뉴인지 확인
이름 많이 다름,생과일 수박주스,4800,리얼수박주스,4800,같은 메뉴인지 확인
이름 많이 다름,베이글 샌드위치 + 미니샐러드 + 음료 세트,11300,베이글 샌드위치 헬시콤보,11300,같은 메뉴인지 확인
이름 많이 다름,[GIFT] 베이글 6종 기프트 세트,19900,프레젠또 6종 기프트 세트,19900,같은 메뉴인지 확인
네이버에만,,,쫀득한 먹물 치아바타,4700,정본에 없음
네이버에만,,,부드러운 화이트 치아바타,4700,정본에 없음
네이버에만,,,건강한 멀티 그레인 치아바타,4700,정본에 없음
네이버에만,,,베글베글 팥컵빙,5900,정본에 없음
정본에만,다은 ’베이글’ 러스크,3000,,,네이버 미등록
정본에만,인절미 팥컵빙,6000,,,네이버 미등록
정본에만,보틀 디카페인 콜드브루,10500,,,네이버 미등록
정본에만,[SET] 베이글 샌드위치 + 음료 + 베이글 하나더!,15000,,,네이버 미등록
정본에만,탄.단.지 샐러드 + 음료 세트,14400,,,네이버 미등록
