품목코드,품목명,규격,단위,입수량,단가기준수량,최소주문수량,최대주문수량,공급가,부가세,단가_합계,과세여부,마감,마감시간,대분류코드,중분류코드,소분류코드,재고구분,상품상태,센터코드,이미지URL,카테고리,기준납품일
152818,(서울팩토리)블루소다향베이스_1.2kg*8ea/box ,1.2kg*8ea/box ,EA,8,1,1,999999,9000,900,9900,1,D-1,15,10,14,13,2,10,1400,https://order.msfs.co.kr/upload/item/152818.jpg,가공식품,20260815
100153,1883_바닐라 시럽(1L*6ea/BOX),1L/EA,EA,6,1,1,999999,15000,1500,16500,1,D-1,15,10,14,14,2,10,1400,https://order.msfs.co.kr/upload/item/100153.jpg,가공식품,20260815
103034,1883_헤이즐넛 시럽(1L*6ea/BOX),1L/EA,EA,6,1,1,999999,15000,1500,16500,1,D-1,15,10,14,14,2,10,1400,https://order.msfs.co.kr/upload/item/103034.jpg,가공식품,20260815
131432,[에쓰푸드]치킨브레스트_300g*20ea/box,300g/ea,EA,20,1,1,999999,3990,399,4389,1,D-1,15,10,17,10,2,20,1400,https://order.msfs.co.kr/upload/item/131432.jpg,가공식품,20260815
167390,그린트리_배 베이스(1.2kg*6ea/BOX),1.2kg/EA,EA,6,1,1,999999,11200,1120,12320,1,D-1,15,10,14,13,2,10,1400,https://order.msfs.co.kr/upload/item/167390.jpg,가공식품,20260815
168868,그린트리_우베 베이스(1.2kg*6ea/BOX),1.2kg/EA,EA,6,1,1,999999,12500,1250,13750,1,D-1,15,10,14,13,2,10,1400,https://order.msfs.co.kr/upload/item/168868.jpg,가공식품,20260815
122490,꽃샘_꿀 레드 자몽(1kg*8ea/BOX),1kg/EA,EA,8,1,1,999999,6500,650,7150,1,D-1,15,10,14,17,2,10,1400,https://order.msfs.co.kr/upload/item/122490.jpg,가공식품,20260815
122738,꽃샘_꿀 레몬차(1kg*8ea/BOX),1kg/EA,EA,8,1,1,999999,5900,590,6490,1,D-1,15,10,14,17,2,10,1400,https://order.msfs.co.kr/upload/item/122738.jpg,가공식품,20260815
122735,꽃샘_꿀 유자차(1kg*8ea/BOX),1kg/EA,EA,8,1,1,999999,6500,650,7150,1,D-1,15,10,14,17,2,10,1400,https://order.msfs.co.kr/upload/item/122735.jpg,가공식품,20260815
126297,너츠스토리_건조 크랜베리(1kg*10ea/BOX),1kg/EA,EA,10,1,1,999999,9000,900,9900,1,D-1,15,10,19,13,2,10,1400,https://order.msfs.co.kr/upload/item/126297.jpg,가공식품,20260815
127989,대두식품_통팥 앙금 S35M(5kg*2ea/BOX),5kg/EA,EA,2,1,1,999999,17400,1740,19140,1,D-1,15,10,19,13,2,10,1400,https://order.msfs.co.kr/upload/item/127989.jpg,가공식품,20260815
103016,동서_오레오 화이트 크림(100g*24ea/BOX),100g/EA,EA,24,1,1,999999,1300,130,1430,1,D-1,15,10,19,12,2,10,1400,https://order.msfs.co.kr/upload/item/103016.jpg,가공식품,20260815
111631,롯데_칠성 사이다(190ml*30ea/BOX),190ml*30ea/BOX,BOX,1,1,1,999999,13600,1360,14960,1,D-1,15,10,19,10,2,10,1400,https://order.msfs.co.kr/upload/item/111631.jpg,가공식품,20260815
119407,르네_홀그레인 머스타드(820g*6ea/BOX),820g/EA,EA,6,1,1,999999,9000,900,9900,1,D-1,15,10,19,13,2,10,1400,https://order.msfs.co.kr/upload/item/119407.jpg,가공식품,20260815
