SKU,카테고리,메뉴,재료원가,현재 매장가,추천 매장가,인상폭,현재 원가율%,추천후 원가율%,목표 원가율%,시장 중심가,시장 상단가,판단
BOT-002,보틀 1L,보틀 디카페인 콜드브루,5500,10500,27500,17000,52.4,20.0,20,,,인상 제안
BOT-007,보틀 1L,보틀 로얄 밀크티,5392,11000,27000,16000,49.0,20.0,20,,,인상 제안
BOT-004,보틀 1L,보틀 초코라떼,4784,11000,23900,12900,43.5,20.0,20,,,인상 제안
SIG-016,에이드 · 스무디,후르츠 비타,3191,5500,16000,10500,58.0,19.9,20,,,인상 제안
SIG-018,에이드 · 스무디,풀파워 비타,3191,5500,16000,10500,58.0,19.9,20,,,인상 제안
BOT-005,보틀 1L,보틀 수제청 딸기라떼,3879,11000,19400,8400,35.3,20.0,20,,,인상 제안
ADSM-012,에이드 · 스무디,애플망고 요거트 스무디,2854,6000,14300,8300,47.6,20.0,20,,,인상 제안
SIG-012,에이드 · 스무디,블랙러시안 논알콜 하이볼스,2780,6300,13900,7600,44.1,20.0,20,,,인상 제안
SIG-015,에이드 · 스무디,생 레몬 논알콜 하이볼스,2756,6300,13800,7500,43.8,20.0,20,,,인상 제안
SIG-017,에이드 · 스무디,레몬딜 비타,2421,5500,12100,6600,44.0,20.0,20,,,인상 제안
ADSM-010,에이드 · 스무디,딸기 요거트 스무디,2194,6000,11000,5000,36.6,19.9,20,,,인상 제안
ADSM-011,에이드 · 스무디,키위 요거트 스무디,2194,6000,11000,5000,36.6,19.9,20,,,인상 제안
ADSM-007,에이드 · 스무디,청포도 스무디,1947,5000,9700,4700,38.9,20.1,20,,,인상 제안
SIG-014,에이드 · 스무디,생 자몽 논알콜 하이볼스,2138,6300,10700,4400,33.9,20.0,20,,,인상 제안
SIG-013,에이드 · 스무디,딥 얼그레이 논알콜 하이볼스,2117,6300,10600,4300,33.6,20.0,20,,,인상 제안
BOT-003,보틀 1L,보틀 카페라떼,2774,9900,13900,4000,28.0,20.0,20,,,인상 제안
ADSM-001,에이드 · 스무디,꿀 자몽 에이드,1769,5000,8800,3800,35.4,20.1,20,,,인상 제안
SET-004,세트,베이글 샌드위치 + 미니샐러드 + 음료 세트,4474,11300,14900,3600,39.6,30.0,30,10500,15000,인상 제안
DESRT-039,케이크 · 산도,망고 하나가득 산도,3947,9600,13200,3600,41.1,29.9,30,,,인상 제안
ADSM-009,에이드 · 스무디,요거트 스무디,1806,5500,9000,3500,32.8,20.1,20,,,인상 제안
ADSM-008,에이드 · 스무디,애플망고 스무디,1701,5500,8500,3000,30.9,20.0,20,,,인상 제안
BOT-001,보틀 1L,보틀 아메리카노,2145,7800,10700,2900,27.5,20.0,20,,,인상 제안
BOT-006,보틀 1L,보틀 복숭아 아이스티,2443,9500,12200,2700,25.7,20.0,20,,,인상 제안
NCOF-002,논커피,꿀 마롱 라떼,1363,4000,6100,2100,34.1,22.3,20,5000,6100,인상 제안
DESRT-001,빙수,얼먹 코르네 우유 생크림,2200,3500,5500,2000,62.9,40.0,40,,,인상 제안
DESRT-002,빙수,얼먹 코르네 딸기 생크림,2200,3500,5500,2000,62.9,40.0,40,,,인상 제안
DESRT-003,빙수,얼먹 코르네 초코 생크림,2200,3500,5500,2000,62.9,40.0,40,,,인상 제안
SIG-011,논커피,프로틴 밤 라떼,1693,4500,6100,1600,37.6,27.7,20,5000,6100,인상 제안
NCOF-009,논커피,로얄 밀크티,1461,4500,6100,1600,32.5,24.0,20,5000,6100,인상 제안
NCOF-001,논커피,생과일 수박주스,2007,4800,6100,1300,41.8,32.9,20,5000,6100,인상 제안
NCOF-007,논커피,민트초코라떼,1559,4800,6100,1300,32.5,25.6,20,5000,6100,인상 제안
NCOF-008,논커피,그린티라떼,2234,4800,6100,1300,46.5,36.6,20,5000,6100,인상 제안
SIG-009,논커피,프로틴 드링크 초코,1547,4900,6100,1200,31.6,25.4,20,5000,6100,인상 제안
SIG-010,논커피,프로틴 부스터 바닐라,1764,4900,6100,1200,36.0,28.9,20,5000,6100,인상 제안
ADSM-005,에이드 · 스무디,꿀 유자 스무디,1194,5000,6000,1000,23.9,19.9,20,,,인상 제안
SIG-006,커피,샤케라또,1042,4000,4700,700,26.1,22.2,20,4300,4700,인상 제안
TEA-006,티,자몽 허니 블랙티,1125,4800,5500,700,23.4,20.4,20,4500,5500,인상 제안
TEA-009,티,수제청 딸기 애플티,1201,4800,5500,700,25.0,21.8,20,4500,5500,인상 제안
TEA-010,티,유자 애플티,1554,4800,5500,700,32.4,28.2,20,4500,5500,인상 제안
TEA-011,티,꿀 자몽 애플티,1394,4800,5500,700,29.0,25.3,20,4500,5500,인상 제안
SIG-007,논커피,밤 티라미슈 라떼,1700,5500,6100,600,30.9,27.9,20,5000,6100,인상 제안
COF-003,커피,복숭아 아메리카노,1082,4100,4700,600,26.4,23.0,20,4300,4700,인상 제안
DESRT-041,케이크 · 산도,카라카라 오렌지 산도,2794,8800,9300,500,31.7,30.0,30,,,인상 제안
SAND-006,샌드위치,파리지엔 잠봉&뵈르 치아바타 샌드위치,4062,9800,10200,400,41.4,39.8,40,9200,11300,인상 제안
COF-004,커피,카페라떼,1014,4300,4700,400,23.6,21.6,20,4300,4700,인상 제안
TEA-012,티,제로 슬림 꿀티 (애플티·얼그레이·페퍼민트 중 선택),934,4300,4700,400,21.7,19.9,20,4500,5500,인상 제안
NCOF-006,논커피,초코라떼,1021,4800,5100,300,21.3,20.0,20,5000,6100,인상 제안
SALAD-004,샐러드,닭가슴살 피넛 탄단지 샐러드,4090,9900,10200,300,41.3,40.1,40,9900,11400,인상 제안
SET-008,세트,잠봉&뵈르 샌드위치 세트,5099,14700,15000,300,34.7,34.0,30,10500,15000,인상 제안
SAND-001,샌드위치,파리지엔 잠봉&뵈르 샌드위치,3656,8900,9100,200,41.1,40.2,40,9200,11300,인상 제안
SALAD-002,샐러드,잠봉햄 탄단지 샐러드,4042,9900,10100,200,40.8,40.0,40,9900,11400,인상 제안
COF-005,커피,바닐라라떼,1560,4500,4700,200,34.7,33.2,20,4300,4700,인상 제안
COF-006,커피,헤이즐넛라떼,1602,4500,4700,200,35.6,34.1,20,4300,4700,인상 제안
COF-007,커피,연유라떼,1443,4500,4700,200,32.1,30.7,20,4300,4700,인상 제안
COF-008,커피,카페모카라떼,1289,4500,4700,200,28.6,27.4,20,4300,4700,인상 제안
SIG-008,커피,벤치프레소,1317,4500,4700,200,29.3,28.0,20,4300,4700,인상 제안
SAND-008,샌드위치,런던식 터키쉬 치아바타 샌드위치,3720,9200,9300,100,40.4,40.0,40,9200,11300,인상 제안
DESRT-004,구움과자 · 간식,'베이글' 러스크칩,915,3000,3000,0,30.5,30.5,40,,,유지
NCOF-005,논커피,수제청 딸기 라떼,989,5000,5000,0,19.8,19.8,20,5000,6100,유지
BK-001,베이커리,[Original] 플레인 베이글,678,3300,3300,0,20.6,20.6,30,3800,4700,유지
BK-002,베이커리,건강한 통밀 베이글,752,4000,4000,0,18.8,18.8,30,3800,4700,유지
BK-003,베이커리,구운 어니언 베이글,770,4200,4200,0,18.3,18.3,30,3800,4700,유지
BK-004,베이커리,향긋한 바질 베이글,843,4200,4200,0,20.1,20.1,30,3800,4700,유지
BK-005,베이커리,런던식 모짜렐라 베이글,852,4300,4300,0,19.8,19.8,30,3800,4700,유지
BK-006,베이커리,리얼 크랜베리 베이글,843,4200,4200,0,20.1,20.1,30,3800,4700,유지
BK-007,베이커리,아침엔 블루베리 베이글,816,4200,4200,0,19.4,19.4,30,3800,4700,유지
BK-008,베이커리,초코가득 초코 베이글,772,4200,4200,0,18.4,18.4,30,3800,4700,유지
BK-009,베이커리,고소한 브라운 치아바타,1085,4700,4700,0,23.1,23.1,30,3800,4700,유지
DESRT-005,빙수,인절미 팥컵빙,1348,5800,5800,0,23.2,23.2,40,,,유지
SAND-002,샌드위치,바베큐 폭립 풀드포크 샌드위치,2680,7200,7200,0,37.2,37.2,40,9200,11300,유지
SAND-003,샌드위치,런던식 터키쉬 샌드위치,2879,7200,7200,0,40.0,40.0,40,9200,11300,유지
SAND-004,샌드위치,단백질 가득 닭가슴살 샌드위치,2712,7200,7200,0,37.7,37.7,40,9200,11300,유지
SAND-005,샌드위치,fresh 크림치즈 카프레제 샌드위치,2446,7200,7200,0,34.0,34.0,40,9200,11300,유지
SAND-007,샌드위치,바베큐 폭립 풀드포크 치아바타 샌드위치,3086,9200,9200,0,33.5,33.5,40,9200,11300,유지
SAND-009,샌드위치,단백질 가득 닭가슴살 치아바타 샌드위치,3553,9200,9200,0,38.6,38.6,40,9200,11300,유지
SAND-010,샌드위치,크림치즈 카프레제 치아바타 샌드위치,3300,8800,8800,0,37.5,37.5,40,9200,11300,유지
SAND-011,샌드위치,앙앙버터 치아바타 샌드위치,2821,8800,8800,0,32.1,32.1,40,9200,11300,유지
SAND-012,샌드위치,에그마요 무슈 치아바타 샌드위치,3060,8800,8800,0,34.8,34.8,40,9200,11300,유지
SALAD-001,샐러드,터키햄 에그마요 탄단지 샐러드,3915,9900,9900,0,39.5,39.5,40,9900,11400,유지
SALAD-003,샐러드,바베큐 풀드포크 탄단지 샐러드,3445,9900,9900,0,34.8,34.8,40,9900,11400,유지
SALAD-005,샐러드,페퍼 크래미 콘 탄단지 샐러드,3151,9900,9900,0,31.8,31.8,40,9900,11400,유지
SID-001,세트,쿠키+아메리카노,1305,4500,4500,0,29.0,29.0,30,10500,15000,유지
